ticker,None,scalemarketcap,scalerevenue,siccode
A,0,5.0,5.0,3826.0
AA,1,4.0,5.0,3350.0
AACG,11,2.0,2.0,8200.0
AAL,18,5.0,5.0,4512.0
AAMC,19,4.0,3.0,6500.0
AAME,20,2.0,2.0,6311.0
AAN,21,4.0,4.0,7359.0
AAOI,23,3.0,3.0,3674.0
AAON,24,4.0,3.0,3585.0
AAP,25,5.0,4.0,5531.0
AAPL,27,6.0,6.0,3571.0
AAT,28,4.0,3.0,6798.0
AAU,32,2.0,1.0,1000.0
AAWW,36,3.0,4.0,4522.0
AAXN,37,4.0,3.0,3480.0
AB,38,4.0,3.0,6282.0
ABB,43,5.0,5.0,3613.0
ABBV,46,5.0,5.0,2834.0
ABC,47,5.0,5.0,5122.0
ABCB,48,4.0,3.0,6022.0
ABDC,58,2.0,1.0,6799.0
ABEO,61,3.0,1.0,2834.0
ABEV,62,5.0,5.0,2080.0
ABG,65,4.0,4.0,5500.0
ABIO,74,3.0,1.0,2835.0
ABM,81,4.0,4.0,7340.0
ABMD,83,5.0,3.0,3841.0
ABR,90,3.0,3.0,6798.0
ABT,95,5.0,5.0,2834.0
ABTX,99,3.0,2.0,6022.0
ABUS,101,3.0,1.0,2834.0
AC,107,3.0,1.0,6211.0
ACAD,109,4.0,3.0,2834.0
ACBI,117,3.0,2.0,6022.0
ACC,118,4.0,3.0,6798.0
ACCO,121,3.0,4.0,2780.0
ACER,129,3.0,1.0,2834.0
ACGL,135,5.0,4.0,6331.0
ACH,136,4.0,5.0,3334.0
ACHC,137,4.0,4.0,8093.0
ACHV,140,2.0,1.0,2835.0
ACIA,141,4.0,3.0,3674.0
ACIU,144,3.0,1.0,2834.0
ACIW,145,4.0,3.0,7372.0
ACLS,152,3.0,3.0,3559.0
ACM,153,4.0,5.0,8711.0
ACMR,158,3.0,2.0,3559.0
ACN,160,5.0,5.0,7389.0
ACNB,163,2.0,2.0,6022.0
ACOR,168,3.0,3.0,2836.0
ACRE,171,3.0,2.0,6798.0
ACRS,173,3.0,1.0,2834.0
ACRX,176,3.0,1.0,2834.0
ACTG,182,4.0,2.0,6794.0
ACU,194,2.0,2.0,3420.0
ACY,201,1.0,1.0,7359.0
ADAP,205,3.0,2.0,2836.0
ADBE,208,5.0,5.0,7372.0
ADC,210,4.0,2.0,6798.0
ADES,215,3.0,2.0,2890.0
ADI,223,5.0,4.0,3674.0
ADM,228,5.0,5.0,2070.0
ADMA,229,2.0,1.0,2836.0
ADMP,232,2.0,1.0,2834.0
ADMS,233,3.0,2.0,2834.0
ADNT,236,4.0,5.0,3714.0
ADP,238,5.0,5.0,7374.0
ADRO,243,4.0,2.0,2834.0
ADS,245,5.0,4.0,7389.0
ADSK,248,5.0,4.0,7372.0
ADSW,251,4.0,3.0,4953.0
ADT,252,4.0,4.0,7381.0
ADTN,256,4.0,3.0,3661.0
ADUS,257,3.0,3.0,8082.0
ADVM,259,3.0,1.0,2836.0
ADXS,264,3.0,1.0,2834.0
AE,269,3.0,4.0,5172.0
AEE,273,5.0,4.0,4931.0
AEG,274,5.0,5.0,6311.0
AEGN,276,3.0,3.0,1623.0
AEHR,280,2.0,1.0,3825.0
AEIS,282,4.0,3.0,3679.0
AEL,283,4.0,4.0,6311.0
AEM,284,5.0,4.0,1040.0
AEMD,285,2.0,1.0,3826.0
AEO,288,4.0,4.0,5651.0
AEP,289,5.0,5.0,4911.0
AER,291,4.0,4.0,7359.0
AERI,294,4.0,2.0,2836.0
AES,298,5.0,5.0,4991.0
AESE,299,2.0,1.0,6770.0
AEY,305,2.0,2.0,5000.0
AEZS,308,2.0,2.0,2834.0
AFG,322,5.0,4.0,6331.0
AFH,323,2.0,2.0,6331.0
AFI,324,3.0,3.0,3089.0
AFL,327,5.0,5.0,6321.0
AFMD,330,2.0,1.0,2834.0
AG,341,4.0,3.0,1040.0
AGCO,351,4.0,5.0,3523.0
AGEN,358,3.0,2.0,2836.0
AGFS,359,3.0,2.0,6770.0
AGI,361,4.0,3.0,1040.0
AGIO,364,4.0,2.0,2834.0
AGLE,368,2.0,1.0,2834.0
AGM,370,3.0,2.0,6111.0
AGN,372,5.0,5.0,2834.0
AGNC,374,5.0,4.0,6798.0
AGO,377,4.0,4.0,6351.0
AGR,381,5.0,4.0,4911.0
AGRO,383,3.0,3.0,100.0
AGS,386,3.0,2.0,3990.0
AGTC,388,3.0,1.0,2836.0
AGX,391,3.0,3.0,1700.0
AGYS,394,3.0,4.0,7373.0
AHC,396,2.0,3.0,2711.0
AHH,403,3.0,3.0,6500.0
AHPI,414,2.0,2.0,3842.0
AHT,415,3.0,3.0,6798.0
AI,418,3.0,2.0,6798.0
AIG,426,6.0,5.0,6331.0
AIM,436,3.0,1.0,2836.0
AIMC,438,4.0,3.0,3569.0
AIN,441,4.0,3.0,2221.0
AINC,442,2.0,2.0,8742.0
AINV,445,4.0,3.0,6799.0
AIR,448,3.0,4.0,3720.0
AIRG,449,2.0,2.0,3663.0
AIRI,450,2.0,2.0,3728.0
AIRT,455,2.0,2.0,4513.0
AIT,458,4.0,4.0,5080.0
AIV,460,4.0,3.0,6798.0
AIZ,462,4.0,5.0,6321.0
AJG,463,5.0,4.0,6411.0
AJRD,464,4.0,3.0,3760.0
AJX,466,3.0,2.0,6798.0
AKAM,469,5.0,4.0,7389.0
AKBA,471,3.0,3.0,2834.0
AKCA,472,4.0,2.0,2834.0
AKER,473,2.0,1.0,2835.0
AKG,474,3.0,2.0,1400.0
AKR,477,4.0,2.0,6798.0
AKRX,479,4.0,3.0,2834.0
AKS,480,4.0,4.0,3312.0
AKTS,481,2.0,1.0,3661.0
AL,484,4.0,4.0,7359.0
ALB,488,5.0,4.0,2821.0
ALBO,491,3.0,1.0,2834.0
ALCO,497,3.0,2.0,100.0
ALE,506,4.0,3.0,4931.0
ALEX,508,4.0,3.0,6798.0
ALG,514,3.0,3.0,3523.0
ALGN,516,5.0,4.0,3842.0
ALGT,519,4.0,3.0,4512.0
ALIM,522,3.0,2.0,2834.0
ALJJ,524,2.0,3.0,7389.0
ALK,525,5.0,4.0,4512.0
ALKS,526,5.0,3.0,2834.0
ALL,527,5.0,5.0,6331.0
ALLE,529,5.0,4.0,7381.0
ALLT,537,3.0,2.0,3576.0
ALLY,538,5.0,5.0,6022.0
ALNY,544,5.0,2.0,2834.0
ALO,545,3.0,2.0,1040.0
ALOT,548,2.0,2.0,3577.0
ALPN,551,2.0,1.0,2834.0
ALRM,555,4.0,3.0,7372.0
ALSK,560,3.0,3.0,4813.0
ALSN,562,4.0,4.0,3714.0
ALT,563,2.0,1.0,2834.0
ALTM,569,3.0,2.0,6770.0
ALTR,570,4.0,3.0,7372.0
ALV,578,5.0,5.0,3714.0
ALX,580,4.0,2.0,6798.0
ALXN,582,5.0,4.0,2834.0
ALYA,584,2.0,2.0,7370.0
AM,587,4.0,3.0,4922.0
AMAG,591,4.0,3.0,2834.0
AMAT,594,5.0,5.0,3674.0
AMBA,595,4.0,3.0,3674.0
AMBC,596,3.0,3.0,6351.0
AMC,602,4.0,4.0,7830.0
AMCR,610,5.0,4.0,3990.0
AMCX,614,4.0,4.0,4841.0
AMD,615,5.0,4.0,3674.0
AME,616,5.0,4.0,3621.0
AMED,617,4.0,3.0,8082.0
AMEH,618,3.0,3.0,8742.0
AMG,625,5.0,4.0,6282.0
AMGN,628,5.0,5.0,2836.0
AMH,629,4.0,3.0,6798.0
AMKR,642,4.0,4.0,3674.0
AMN,648,4.0,4.0,7363.0
AMNB,650,3.0,2.0,6021.0
AMOT,652,3.0,3.0,3825.0
AMOV,653,5.0,5.0,4813.0
AMP,654,5.0,5.0,6282.0
AMPE,656,3.0,1.0,2834.0
AMPH,657,3.0,3.0,2834.0
AMPY,661,3.0,2.0,1311.0
AMRB,663,2.0,1.0,6022.0
AMRC,664,3.0,3.0,1700.0
AMRH,666,1.0,1.0,3674.0
AMRK,668,2.0,4.0,5094.0
AMRN,669,4.0,3.0,2834.0
AMRS,672,3.0,2.0,2860.0
AMS,674,1.0,1.0,8071.0
AMSC,675,3.0,3.0,3621.0
AMSF,676,3.0,3.0,6331.0
AMSWA,681,3.0,2.0,7372.0
AMT,683,5.0,4.0,6798.0
AMTD,685,5.0,4.0,6211.0
AMTX,688,2.0,2.0,2860.0
AMWD,693,4.0,3.0,2430.0
AMZN,700,6.0,6.0,5961.0
AN,701,5.0,5.0,5500.0
ANAB,704,4.0,1.0,2834.0
ANAT,707,4.0,4.0,6311.0
ANDE,719,3.0,4.0,5150.0
ANET,728,5.0,4.0,3576.0
ANF,731,4.0,4.0,5651.0
ANGI,734,5.0,3.0,7310.0
ANGO,736,3.0,3.0,3841.0
ANH,737,3.0,2.0,6798.0
ANIK,740,3.0,2.0,3841.0
ANIP,741,3.0,2.0,2834.0
ANIX,742,2.0,1.0,8071.0
ANSS,759,5.0,3.0,7372.0
ANTE,764,3.0,2.0,7311.0
ANTM,766,5.0,5.0,6324.0
ANY,773,2.0,2.0,7374.0
AOBC,774,3.0,3.0,3480.0
AON,781,5.0,5.0,6411.0
AOS,785,5.0,4.0,3630.0
AOSL,786,3.0,3.0,3674.0
AP,789,3.0,3.0,3561.0
APA,790,5.0,5.0,1311.0
APAM,794,4.0,3.0,6282.0
APD,800,5.0,5.0,2810.0
APDN,801,2.0,1.0,7380.0
APEI,802,3.0,3.0,8200.0
APEN,803,2.0,2.0,3841.0
APEX,804,3.0,2.0,2330.0
APH,808,5.0,4.0,3678.0
APLE,815,4.0,3.0,6798.0
APO,828,4.0,4.0,6282.0
APOG,830,3.0,3.0,3231.0
APPF,835,4.0,2.0,7372.0
APPN,836,4.0,2.0,7372.0
APPS,837,3.0,2.0,6794.0
APRN,843,3.0,3.0,5961.0
APT,848,2.0,2.0,3842.0
APTS,853,3.0,3.0,6798.0
APTV,854,5.0,5.0,3714.0
APVO,857,2.0,1.0,2834.0
APWC,859,2.0,3.0,3357.0
APYX,865,2.0,1.0,3841.0
AQB,868,2.0,1.0,900.0
AQMS,870,3.0,1.0,3341.0
AQN,871,4.0,3.0,4911.0
AQUA,876,4.0,3.0,3580.0
AR,877,5.0,4.0,1311.0
ARA,879,3.0,3.0,8090.0
ARAV,881,3.0,1.0,2834.0
ARAY,882,3.0,3.0,3841.0
ARC,886,3.0,3.0,7330.0
ARCB,888,3.0,4.0,4213.0
ARCC,889,4.0,3.0,6799.0
ARCH,892,4.0,4.0,1221.0
ARCO,894,4.0,4.0,5812.0
ARCT,895,2.0,1.0,2834.0
ARD,899,4.0,4.0,3221.0
ARDX,906,3.0,1.0,2834.0
ARE,907,5.0,3.0,6798.0
ARES,910,4.0,3.0,6282.0
ARGO,914,4.0,3.0,6361.0
ARGX,916,4.0,1.0,2836.0
ARI,918,4.0,3.0,6798.0
ARKR,924,2.0,2.0,5812.0
ARL,925,3.0,3.0,6510.0
ARLP,928,4.0,4.0,1221.0
ARMK,932,5.0,5.0,5812.0
ARMP,934,1.0,1.0,2836.0
ARNA,935,4.0,3.0,2834.0
ARNC,936,5.0,5.0,3350.0
AROC,938,4.0,4.0,4922.0
AROW,940,3.0,2.0,6021.0
ARR,947,4.0,3.0,6798.0
ARTNA,965,3.0,2.0,4941.0
ARTW,967,2.0,1.0,3523.0
ARW,973,4.0,5.0,5065.0
ARWR,976,4.0,2.0,2834.0
ASB,988,4.0,3.0,6022.0
ASC,992,3.0,2.0,4412.0
ASFI,1006,3.0,2.0,6153.0
ASGN,1009,4.0,4.0,7363.0
ASH,1011,4.0,5.0,5160.0
ASIX,1019,3.0,3.0,2821.0
ASM,1022,2.0,1.0,1000.0
ASMB,1024,3.0,1.0,2834.0
ASML,1026,5.0,5.0,3559.0
ASNA,1028,4.0,4.0,5600.0
ASND,1030,4.0,1.0,2834.0
ASPN,1035,2.0,2.0,5030.0
ASPS,1036,4.0,3.0,7380.0
ASPU,1038,2.0,1.0,8200.0
ASR,1042,4.0,3.0,4581.0
ASRT,1043,3.0,3.0,2834.0
ASRV,1044,2.0,2.0,6021.0
ASTC,1046,2.0,2.0,3826.0
ASTE,1047,3.0,3.0,3531.0
ASUR,1054,2.0,2.0,7373.0
ASX,1061,5.0,5.0,3674.0
ASYS,1062,2.0,2.0,3559.0
AT,1064,3.0,3.0,4900.0
ATAX,1069,3.0,2.0,6199.0
ATEC,1077,3.0,2.0,3841.0
ATEN,1080,3.0,2.0,3576.0
ATEX,1082,3.0,1.0,4813.0
ATGE,1084,4.0,4.0,8200.0
ATH,1086,5.0,5.0,6311.0
ATHE,1087,2.0,1.0,2834.0
