,ticker,table,permaticker,name,exchange,isdelisted,category,cusips,siccode,sicsector,sicindustry,famasector,famaindustry,sector,industry,scalemarketcap,scalerevenue,relatedtickers,currency,location,lastupdated,firstadded,firstpricedate,lastpricedate,firstquarter,lastquarter,secfilings,companysite
0,ABMD,SF1,198315,Abiomed Inc,NASDAQ,N,Domestic,003654100,3841.0,Manufacturing,Surgical & Medical Instruments & Apparatus,,Medical Equipment,Healthcare,Medical Devices,5 - Large,3 - Small,,USD,Massachusetts; U.S.A,2020-02-07,2014-10-14,1987-07-30,2020-02-25,1997-03-31,2019-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000815094,http://www.abiomed.com
2,EXTR,SF1,196424,Extreme Networks Inc,NASDAQ,N,Domestic,30226D106,3576.0,Manufacturing,Computer Communications Equipment,,Computers,Technology,Communication Equipment,5 - Large,3 - Small,,USD,California; U.S.A,2020-01-30,2014-12-16,1999-04-09,2020-02-25,1997-06-30,2019-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001078271,http://www.extremenetworks.com
4,FEYE,SF1,194376,FireEye Inc,NASDAQ,N,Domestic,31816Q101,3577.0,Manufacturing,Computer Peripheral Equipment Nec,,Computers,Technology,Software - Infrastructure,5 - Large,3 - Small,,USD,California; U.S.A,2020-02-22,2014-11-05,2013-09-20,2020-02-25,2012-09-30,2019-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001370880,http://www.fireeye.com
6,PSXP,SF1,191522,Phillips 66 Partners Lp,NYSE,N,Domestic,718549207,4610.0,Transportation Communications Electric Gas And Sanitary Service,Pipe Lines (No Natural Gas),,Transportation,Energy,Oil & Gas Midstream,5 - Large,3 - Small,,USD,Texas; U.S.A,2020-02-22,2015-05-28,2013-07-23,2020-02-25,2011-12-31,2019-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001572910,http://www.phillips66partners.com
8,ROKU,SF1,121823,Roku Inc,NASDAQ,N,Domestic,77543R102,4841.0,Transportation Communications Electric Gas And Sanitary Service,Cable & Other Pay Television Services,,Communication,Communication Services,Pay TV,5 - Large,3 - Small,,USD,California; U.S.A,2019-11-08,2017-11-05,2017-09-28,2020-02-25,2015-12-31,2019-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001428439,http://www.roku.com
10,CATS,SF1,195860,Catasys Inc,NASDAQ,N,Domestic,149049504 44919F104 149049405,8090.0,Services,Services-Misc Health & Allied Services Nec,,Healthcare,Healthcare,Medical Care Facilities,3 - Small,1 - Nano,HYTM HTM,USD,California; U.S.A,2019-11-16,2015-11-24,2003-12-15,2020-02-25,2003-06-30,2019-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001136174,http://catasys.com
12,GTYH,SF1,123527,GTY Technology Holdings Inc,NASDAQ,N,Domestic Primary,362409104 G4182A102 G4182A110,6770.0,Finance Insurance And Real Estate,Blank Checks,,Trading,Industrials,Conglomerates,3 - Small,1 - Nano,GTYHU GTYHW,USD,Nevada; U.S.A,2019-11-07,2017-08-14,2016-11-18,2020-02-25,2016-09-30,2019-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001682325,
14,PCSB,SF1,123640,PCSB Financial Corp,NASDAQ,N,Domestic,69324R104,6036.0,Finance Insurance And Real Estate,Savings Institutions Not Federally Chartered,,Banking,Financial Services,Banks - Regional - US,3 - Small,1 - Nano,,USD,New York; U.S.A,2020-02-08,2017-07-22,2017-04-21,2020-02-25,2015-06-30,2019-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001691337,http://www.pcsbbank.com
16,ARGX,SF1,123167,Argenx Se,NASDAQ,N,ADR,04016X101,2836.0,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,Healthcare,Biotechnology,4 - Mid,1 - Nano,,EUR,Belgium,2019-11-17,2017-09-02,2017-05-18,2020-02-25,2015-12-31,2018-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001697862,http://www.argenx.com
18,ASND,SF1,165603,Ascendis Pharma A,NASDAQ,N,ADR,04351P101,2834.0,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,Healthcare,Biotechnology,4 - Mid,1 - Nano,,EUR,Denmark,2019-04-03,2016-04-17,2015-01-28,2020-02-25,2012-12-31,2018-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001612042,http://www.ascendispharma.com
